Frequency,Depth,Pitch,Speed,Behavioral State,Normalized Depth %,Individual,Species,Species_Num,Length ,Efficiency,Thrust Power,Drag Coefficient,Reynolds Number
0.76923,117.59,-10.383,3.7824,,,6,Minke ,1,8.6209,0.85554,22468,0.027522,31233000
0.47619,118.17,-33.715,3.2011,,,6,Minke ,1,8.6209,0.91002,6141.3,0.01241,26434000
0.2381,121.17,-12.688,2.7668,,,6,Minke ,1,8.6209,0.95379,1084.2,0.0033928,22847000
0.55556,122.74,-5.057,3.1159,,,6,Minke ,1,8.6209,0.87863,9207.6,0.020175,25729000
0.28571,123.6,-31.796,2.9724,,,6,Minke ,1,8.6209,0.95227,1620.5,0.00409,24545000
0.55556,128.16,-12.308,3.4866,,,6,Minke ,1,8.6209,0.89908,9620.1,0.015044,28791000
0.33333,81.35,-51.969,3.554,,,6,Minke ,1,8.6209,0.95262,2656.8,0.0039229,29347000
0.55556,116.02,-27.725,2.8476,,,6,Minke ,1,8.6209,0.86251,8724.5,0.025044,23514000
0.47619,118.7,-17.264,3.4457,,,6,Minke ,1,8.6209,0.92324,6088.4,0.0098641,28454000
0.71429,120.22,-9.6774,3.6829,,,6,Minke ,1,8.6209,0.8653,18474,0.024514,30412000
0.41667,119.89,-18.835,3.1686,,,6,Minke ,1,8.6209,0.93112,4055.9,0.0084505,26165000
0.58824,120.63,-2.4846,3.4859,,,6,Minke ,1,8.6209,0.88788,11268,0.017634,28785000
0.5,117.53,-5.5738,3.3316,,,6,Minke ,1,8.6209,0.90746,7162.9,0.012839,27511000
0.4,119.27,-21.189,2.9613,,,6,Minke ,1,8.6209,0.926,3631.7,0.0092697,24453000
0.45455,122.14,-15.295,3.2719,,,6,Minke ,1,8.6209,0.92312,5261.1,0.0099558,27018000
0.37037,125.38,-20.8,3.3782,,,6,Minke ,1,8.6209,0.95023,2981.6,0.0051263,27896000
0.55556,128.23,-13.529,3.6136,,,6,Minke ,1,8.6209,0.90467,9712.6,0.013644,29839000
0.58824,128.72,2.941,3.8916,,,6,Minke ,1,8.6209,0.90728,11561,0.013002,32135000
0.17857,125.52,-11.895,2.907,,,6,Minke ,1,8.6209,0.9575,724.63,0.0019552,24005000
0.5,127.05,9.5347,3.3323,,,6,Minke ,1,8.6209,0.90747,7164.6,0.012835,27516000
0.37037,134.01,-14.389,3.328,,,6,Minke ,1,8.6209,0.94999,2925.6,0.005261,27481000
0.28571,135.89,-6.0972,2.7809,,,6,Minke ,1,8.6209,0.95127,1487,0.0045831,22964000
0.37037,135.18,13.924,3.0051,,,6,Minke ,1,8.6209,0.94372,2723.9,0.0066532,24815000
0.17241,125.73,-22.086,2.3699,,,6,Minke ,1,8.6209,0.95579,515.91,0.0025693,19569000
0.2439,134.58,-19.966,2.6182,,,6,Minke ,1,8.6209,0.95272,1050,0.0038781,21620000
0.58824,136.32,4.2046,3.4166,,,6,Minke ,1,8.6209,0.88481,11134,0.018505,28213000
0.52632,129.58,-9.5127,3.2574,,,6,Minke ,1,8.6209,0.89642,8176.3,0.01568,26898000
0.34483,129.68,-26.124,3.084,,,6,Minke ,1,8.6209,0.94991,2347.1,0.0053041,25466000
0.43478,118.77,-44.763,4.4181,,,6,Minke ,1,8.6209,0.95193,5539,0.0042573,36483000
0.4,134.12,-21.57,3.6197,,,6,Minke ,1,8.6209,0.9501,3718.5,0.0051971,29890000
0.32258,141.84,7.7982,3.2389,,,6,Minke ,1,8.6209,0.95175,2227.4,0.0043454,26745000
0.625,132.37,-20.736,3.2685,,,6,Minke ,1,8.6209,0.8659,12596,0.023911,26990000
0.58824,134.39,-17.21,3.5691,,,6,Minke ,1,8.6209,0.89339,11293,0.016464,29472000
0.28571,13.801,-12.794,2.2156,,,6,Minke ,1,8.6209,0.93599,1277.2,0.0077841,18295000
0.38462,15.17,0.92496,2.6369,,,6,Minke ,1,8.6209,0.91287,3252.9,0.01176,21774000
0.15873,12.064,-7.6297,2.271,,,6,Minke ,1,8.6209,0.95623,425.28,0.0024068,18753000
0.18519,23.781,-12.907,2.3326,,,6,Minke ,1,8.6209,0.95479,568,0.0029663,19262000
0.35714,39.864,-7.701,2.2473,,,6,Minke ,1,8.6209,0.89916,2564.1,0.014974,18558000
0.33333,40.418,2.3259,2.5541,,,6,Minke ,1,8.6209,0.93349,2047.9,0.0081473,21090000
0.28571,40.556,-4.845,1.845,,,6,Minke ,1,8.6209,0.90214,1332.3,0.014061,15235000
0.35714,40.628,-0.28569,2.3526,,,6,Minke ,1,8.6209,0.90717,2573.8,0.013101,19427000
0.47619,38.774,-2.7839,2.2105,,,6,Minke ,1,8.6209,0.84749,5062.8,0.031071,18253000
0.45455,38.801,-1.0734,2.6736,,,6,Minke ,1,8.6209,0.88764,5151.7,0.017867,22078000
0.38462,40.575,4.5634,1.7488,,,6,Minke ,1,8.6209,0.84381,2625.3,0.032537,14441000
0.34483,40.328,3.3398,2.2921,,,6,Minke ,1,8.6209,0.9074,2342.6,0.012894,18928000
0.38462,37.445,-1.6396,2.6757,,,6,Minke ,1,8.6209,0.91545,3248.8,0.011241,22095000
0.43478,40.016,-7.3949,2.5724,,,6,Minke ,1,8.6209,0.88783,4541.1,0.017684,21241000
0.5,40.612,1.6704,2.9084,,,6,Minke ,1,8.6209,0.88486,6850.3,0.018457,24016000
0.45455,42.76,1.9205,2.6869,,,6,Minke ,1,8.6209,0.8878,5183.3,0.017711,22188000
0.4,42.912,-3.3534,2.3257,,,6,Minke ,1,8.6209,0.88484,3505.4,0.018471,19205000
0.37037,43.782,0.94374,2.0912,,,6,Minke ,1,8.6209,0.8814,2717.8,0.019699,17268000
0.43478,43.872,-0.33503,2.4128,,,6,Minke ,1,8.6209,0.87824,4355.9,0.020556,19924000
0.38462,43.917,1.786,2.6642,,,6,Minke ,1,8.6209,0.91535,3231.6,0.011327,22000000
0.43478,42.363,-0.92374,2.7643,,,6,Minke ,1,8.6209,0.89944,4685.4,0.014704,22826000
0.33333,30.566,28.676,2.1195,,,6,Minke ,1,8.6209,0.89944,2111.7,0.014701,17502000
0.4,27.57,34.908,2.5524,,,6,Minke ,1,8.6209,0.90182,3602.5,0.01436,21077000
0.47619,24.522,41.365,2.8876,,,6,Minke ,1,8.6209,0.89337,5986.8,0.016482,23844000
0.30303,37.935,11.333,2.1031,,,6,Minke ,1,8.6209,0.91539,1584.2,0.011289,17366000
0.35714,36.694,11.293,2.3429,,,6,Minke ,1,8.6209,0.90489,2607.6,0.01344,19347000
0.32258,36.543,-9.6553,2.2826,,,6,Minke ,1,8.6209,0.91811,1918.7,0.010693,18849000
0.43478,38.638,-8.6142,2.1194,,,6,Minke ,1,8.6209,0.85513,4013.5,0.027944,17501000
0.41667,39.419,-5.8344,2.5566,,,6,Minke ,1,8.6209,0.89372,4069.5,0.016142,21111000
0.33333,40.114,-3.3025,1.9552,,,6,Minke ,1,8.6209,0.88755,2024.7,0.017955,16145000
0.33333,40.957,-5.158,1.8495,,,6,Minke ,1,8.6209,0.87824,1962.6,0.020561,15273000
0.32258,41.489,-2.604,2.0118,,,6,Minke ,1,8.6209,0.89664,1900.3,0.01547,16612000
0.4,42.756,-0.015808,2.2774,,,6,Minke ,1,8.6209,0.88169,3459.2,0.019411,18806000
0.41667,42.627,6.3626,2.9611,,,6,Minke ,1,8.6209,0.92048,4072.1,0.010396,24451000
0.41667,40.092,-1.3177,2.7335,,,6,Minke ,1,8.6209,0.90489,4141,0.013439,22572000
0.66667,40.223,-0.13828,3.1791,,,6,Minke ,1,8.6209,0.85151,14224,0.029345,26251000
0.5,37.665,-11.906,2.4814,,,6,Minke ,1,8.6209,0.85843,6175.5,0.026791,20490000
0.28571,37.158,-2.5768,2.1764,,,6,Minke ,1,8.6209,0.93337,1280.3,0.0082316,17972000
0.4,37.373,-0.11277,2.6905,,,6,Minke ,1,8.6209,0.91003,3642.5,0.012397,22217000
0.2439,36.694,19.496,1.719,,,6,Minke ,1,8.6209,0.91802,825.26,0.010769,14195000
0.33333,34.499,14.833,2.2378,,,6,Minke ,1,8.6209,0.90998,2103,0.012439,18479000
0.4,29.904,11.38,2.1968,,,6,Minke ,1,8.6209,0.87539,3389.2,0.021191,18140000
0.45455,28.963,9.6126,2.8068,,,6,Minke ,1,8.6209,0.89636,5252,0.015744,23177000
0.37037,31.609,1.4835,2.0491,,,6,Minke ,1,8.6209,0.87567,2715.1,0.020917,16921000
0.34483,41.017,-6.5867,1.972,,,6,Minke ,1,8.6209,0.88185,2228.3,0.019261,16284000
0.41667,41.644,-0.2973,2.3472,,,6,Minke ,1,8.6209,0.87879,3905.7,0.020019,19382000
0.38462,39.21,-3.8863,1.844,,,6,Minke ,1,8.6209,0.85177,2749.7,0.029068,15227000
0.33333,39.624,-3.9642,2.2599,,,6,Minke ,1,8.6209,0.91023,2128.7,0.012225,18661000
0.41667,40.243,-2.7821,2.7518,,,6,Minke ,1,8.6209,0.90723,4100,0.013042,22723000
0.45455,40.005,1.1225,2.7305,,,6,Minke ,1,8.6209,0.8907,5217.8,0.016988,22548000
0.32258,39.697,-2.0945,1.8174,,,6,Minke ,1,8.6209,0.87879,1812.6,0.020016,15007000
